,Frequency
of,185109
and,138274
in,129979
the,119629
COVID-19,117993
:,108312
for,54962
",",54932
a,51050
to,39403
A,37774
with,36824
.,36107
on,31572
The,24202
SARS-CoV-2,23424
),23341
(,23327
during,20684
pandemic,20358
patients,16870
from,16585
Pandemic,15030
?,13166
Coronavirus,10815
study,10738
coronavirus,10350
de,10036
by,9966
disease,9701
2019,9578
an,9518
Patients,9517
Covid-19,8622
as,8184
review,8123
infection,7829
Disease,7503
Health,7484
During,7456
health,7442
Study,6910
An,6778
Clinical,6752
Impact,6097
China,5776
care,5744
analysis,5585
],5298
[,5297
at,5237
Review,4994
Analysis,4981
among,4922
With,4897
Care,4855
clinical,4801
’,4603
treatment,4601
case,4577
2020,4528
using,4494
Infection,4254
la,4155
against,4111
impact,4095
outbreak,4008
COVID‐19,3887
-,3817
is,3808
Case,3790
systematic,3787
risk,3759
novel,3710
's,3681
management,3646
or,3601
en,3501
Using,3479
Risk,3474
severe,3457
respiratory,3443
between,3411
Social,3327
New,3281
Management,3250
Acute,3217
model,3214
2,3189
acute,3145
associated,3021
response,3014
epidemic,2990
Novel,2986
potential,2835
How,2829
cancer,2827
Treatment,2794
virus,2794
Respiratory,2782
after,2739
Learning,2733
patient,2659
social,2657
pneumonia,2650
From,2641
Potential,2635
Severe,2586
',2547
India,2542
syndrome,2540
mortality,2531
role,2511
report,2478
Use,2478
Data,2466
human,2462
lockdown,2455
based,2436
cases,2426
Response,2423
United,2415
data,2411
children,2411
transmission,2408
use,2397
hospital,2396
Outbreak,2378
Development,2360
Italy,2333
Role,2328
Public,2327
system,2318
its,2315
Effects,2310
factors,2293
Model,2285
outcomes,2281
Syndrome,2267
Is,2262
COVID,2254
control,2240
approach,2232
System,2228
covid-19,2196
States,2196
Early,2191
Medical,2181
healthcare,2179
characteristics,2165
Systematic,2155
therapy,2153
new,2150
meta-analysis,2144
experience,2130
Evaluation,2113
Patient,2092
cohort,2078
detection,2075
Hospital,2074
through,2064
survey,2061
Human,2057
time,2042
Effect,2040
What,2034
medical,2029
In,2011
Outcomes,2005
Detection,1995
