,Frequency
lockdown,6781
of,6496
the,5836
COVID-19,5098
in,4910
and,4903
:,3437
during,3373
on,2423
",",2102
a,1704
pandemic,1347
to,1273
study,966
The,949
A,929
with,892
for,797
from,753
impact,748
health,682
Impact,658
.,650
India,548
),476
(,473
?,442
quality,439
patients,434
among,428
air,416
lockdowns,412
Covid-19,410
first,388
mental,378
an,350
survey,336
analysis,314
children,301
UK,285
’,281
period,276
after,261
measures,258
students,254
Italy,253
due,252
care,252
national,250
effects,250
activity,243
effect,240
social,237
COVID‐19,235
changes,233
SARS-CoV-2,229
China,221
2020,217
at,216
physical,210
adults,209
online,202
cross-sectional,201
population,197
by,192
psychological,190
An,182
coronavirus,181
Effects,179
pollution,177
Italian,176
people,175
case,172
associated,171
before,164
France,161
covid-19,159
',154
South,153
experience,153
under,152
disease,151
using,150
control,150
strategies,149
's,148
urban,148
anxiety,147
diabetes,146
outbreak,144
use,139
epidemic,139
factors,138
over,135
trauma,135
stress,135
nationwide,134
symptoms,134
as,134
de,134
time,133
emergency,133
model,130
between,127
sleep,125
longitudinal,125
-,124
How,124
impacts,123
Changes,123
data,123
type,123
Effect,122
well-being,121
general,118
risk,118
New,114
related,113
adolescents,113
hospital,112
city,112
review,112
learning,111
1,110
COVID,109
food,109
cohort,107
tertiary,107
role,107
Indian,107
women,106
Spain,106
Africa,104
distress,104
results,103
coping,103
its,101
young,100
community,98
response,98
s,98
lifestyle,97
19,97
cities,97
Psychological,97
behaviour,97
their,95
experiences,95
home,93
2,92
observational,92
services,91
mobility,90
public,89
cases,89
early,88
following,87
en,86
depression,85
patterns,83
eating,83
[,81
England,81
],81
wellbeing,81
behavior,80
admissions,79
support,79
la,78
consumption,78
management,78
mortality,77
is,77
sample,77
disorders,76
healthcare,75
change,75
French,75
qualitative,75
work,74
transmission,74
medical,74
life,73
spread,73
education,73
Germany,72
approach,72
Zealand,71
Wuhan,71
status,71
centre,71
evidence,71
across,71
retrospective,71
Mental,70
levels,70
assessment,70
PM2.5,70
restrictions,70
university,69
level,69
different,68
perspective,68
phase,68
post-lockdown,67
–,67
surgery,66
older,66
United,66
school,66
outcomes,65
environment,65
‘,65
water,64
infection,64
Evidence,63
alcohol,63
or,62
center,62
media,62
through,61
acute,60
two,60
Nigeria,59
Social,59
reduction,59
major,59
human,59
consequences,58
'',58
cancer,58
induced,57
service,57
2019,57
distancing,57
crisis,57
living,57
workers,57
based,56
not,56
practices,56
policies,56
severe,55
``,55
incidence,54
countries,54
emotional,54
global,54
surface,53
policy,53
“,53
region,53
Spanish,52
rural,52
department,52
habits,52
”,52
implications,51
Air,51
Results,51
parents,51
exit,51
about,51
surgical,51
disorder,50
behaviours,50
pollutants,50
chronic,50
influence,50
activities,49
economic,49
high,49
injuries,49
Impacts,48
wave,48
dynamics,48
Study,48
therapy,48
COVID19,48
monitoring,48
strategy,48
second,48
loneliness,47
amid,47
teaching,47
college,47
resilience,47
initial,46
Association,46
Special,46
Europe,46
characteristics,46
COVID-19-related,45
access,45
behaviors,45
psychiatric,45
violence,45
practice,45
Coronavirus,45
primary,45
towards,44
large,44
adherence,44
River,44
matter,44
individuals,44
diseases,44
NO2,44
number,43
Australia,43
pain,43
pregnant,43
report,43
new,43
Greece,43
remote,43
emissions,43
virus,42
pediatric,42
conditions,42
Saudi,42
relationship,42
ozone,42
Analysis,42
concentrations,42
cardiac,42
system,41
infections,41
are,41
Lessons,41
Northern,41
Physical,41
against,41
Assessment,40
protective,40
psychosocial,40
por,40
future,40
Modelling,40
treatment,40
rates,40
working,40
Health,39
have,39
isolation,39
digital,39
perceived,39
increase,39
state,39
body,39
What,39
network,38
London,38
prevalence,38
modelling,38
deaths,38
Delhi,38
systematic,38
Exploring,38
Brazil,38
weeks,38
perception,38
European,37
family,37
daily,37
gender,37
evaluation,37
City,37
age,37
University,37
comparative,37
Kingdom,37
without,37
users,37
intervention,36
atmospheric,36
one,36
reopening,36
Post-lockdown,36
dental,36
Increased,36
environmental,35
ambient,35
end,35
trends,35
weight,35
secondary,35
durante,35
be,35
Assessing,35
del,35
patient,35
rate,35
partial,35
association,35
regional,34
el,34
clinical,34
Pandemic,34
series,34
Bangladesh,34
other,34
household,34
exposure,34
elderly,33
presentations,33
Netherlands,33
Influence,33
perceptions,33
families,33
prospective,33
Longitudinal,33
variations,33
concentration,33
attitudes,33
what,32
versus,32
challenges,32
learned,32
burden,32
depressive,32
meteorological,32
increased,32
area,32
caregivers,32
residents,32
potential,32
problems,32
era,32
Issue,31
child,31
student,31
Arabia,31
Implications,31
positive,31
delivery,31
Factors,31
glycemic,31
traffic,31
sexual,31
interrupted,31
research,31
do,31
adult,31
noise,30
country,30
heart,30
Life,30
areas,30
quarantine,30
differences,30
post,30
composition,30
Covid,30
dietary,30
Hospital,30
natural,30
sector,30
aerosol,30
low,30
reduced,30
telemedicine,30
confinamiento,30
responses,30
energy,30
particulate,30
times,30
North,30
most,30
did,30
asthma,29
source,29
Does,29
Global,29
how,29
4,29
local,29
relationships,29
I,29
comparison,29
presentation,29
referral,28
undergraduate,28
PM,28
predictors,28
Psychosocial,28
prevention,28
was,28
y,28
government,28
into,28
rapid,28
paediatric,28
novel,28
population-based,27
confinement,27
strict,27
multicentre,27
Learning,27
findings,27
Trauma,27
spring,27
Online,27
growth,27
training,27
Argentina,27
science,26
metropolitan,26
affected,26
When,26
eye,26
Nepal,26
Pakistan,26
but,26
organic,26
youth,26
sources,26
days,26
mothers,26
Emergency,26
three,26
carbon,26
NO,26
satisfaction,26
Turkey,26
observations,26
academic,26
cardiovascular,26
;,26
Scotland,26
pattern,26
Chinese,25
anthropogenic,25
affect,25
travel,25
professional,25
orthopaedic,25
cross,25
events,25
modeling,25
&,25
Eating,25
Understanding,25
glucose,25
we,25
German,25
trajectories,25
phases,25
Experiences,25
emission,25
more,25
Modeling,25
Insights,25
course,25
can,25
adolescent,25
multicenter,25
vulnerability,25
preliminary,25
staff,25
short-term,25
interventions,24
has,24
sectional,24
parameters,24
multiple,24
difficulties,24
analyses,24
spatial,24
river,24
megacities,24
insights,24
it,24
market,24
dementia,24
transition,24
megacity,24
States,23
inequalities,23
vulnerable,23
security,23
injury,23
Is,23
stroke,23
visits,23
Prevalence,23
Coping,23
personal,23
virtual,23
schools,23
vaccination,23
descriptive,23
engagement,23
drinking,23
./,23
Perceived,23
epidemiology,23
four,23
complete,23
Austria,23
timing,22
investigation,22
lessons,22
professionals,22
inflammatory,22
Using,22
Sleep,22
effectiveness,22
scenarios,22
context,22
relaxation,22
experiment,22
US,22
assess,22
within,22
cognitive,22
exploratory,22
Kolkata,22
Japan,22
e,22
Belgian,22
prior,22
implantable,22
mellitus,22
testing,22
regions,22
easing,22
Dutch,22
prediction,22
performance,22
smoking,21
effective,21
index,21
Data,21
variability,21
perspectives,21
Knowledge,21
controlling,21
hand,21
syndrome,21
des,21
meteorology,21
issues,21
diet,21
behavioural,21
follow-up,21
northern,21
representative,21
African,21
out,21
emergencies,20
formation,20
personality,20
fractures,20
Paris,20
design,20
et,20
technology,20
teachers,20
back,20
Examining,20
birth,20
year,20
risks,20
'lockdown,20
networks,20
containment,20
month,20
sclerosis,20
ecological,20
chemical,20
socioeconomic,20
variation,20
Estimating,20
Lifestyle,20
2.5,20
electronic,20
months,20
than,20
communication,19
temperature,19
observed,19
reductions,19
information,19
parental,19
Why,19
recovery,19
situation,19
ophthalmic,19
domestic,19
Comparison,19
Evaluation,19
youths,19
April,19
Time,19
SARS-Cov-2,19
!,19
Department,19
functioning,19
Ireland,19
studies,19
State,19
trust,19
caused,19
Denmark,19
models,19
On,19
Western,19
total,19
/,18
scenario,18
pilot,18
Reduction,18
healthy,18
Variation,18
coastal,18
Change,18
Beijing,18
failure,18
possible,18
india,18
players,18
Jordan,18
economy,18
outpatient,18
Investigating,18
Delta,18
demand,18
No,18
exploring,18
devices,18
sedentary,18
needs,18
recommendations,18
West,18
From,18
Home,18
corona,18
size,18
March,18
Belgium,18
participation,18
detection,17
world,17
wastewater,17
outcome,17
does,17
Food,17
industrial,17
Pediatric,17
unit,17
poor,17
income,17
roles,17
Mexico,17
households,17
covid,17
Public,17
Risk,17
that,17
Experience,17
self-reported,17
need,17
Depression,17
waves,17
bowel,17
associations,17
fear,17
centers,17
traumatic,17
around,17
waste,17
selected,17
six,17
who,17
consultations,17
distance,17
predict,17
reproduction,17
satellite,17
Wales,17
mechanisms,17
decline,17
periods,17
Role,17
empirical,17
according,16
suicidal,16
Did,16
regulation,16
our,16
Poland,16
special,16
diagnosis,16
myocardial,16
respiratory,16
Corona,16
