,Frequency
workers,5686
of,5419
in,4671
and,4034
the,3519
COVID-19,3459
:,2953
healthcare,2856
health,2092
a,2058
",",1999
among,1640
pandemic,1583
during,1511
care,1306
study,1144
for,1138
to,1135
SARS-CoV-2,1046
A,936
on,845
with,653
.,588
infection,573
The,566
(,511
),511
hospital,510
from,501
cross-sectional,453
worker,337
mental,333
review,333
vaccine,326
risk,308
impact,294
coronavirus,277
vaccination,276
frontline,273
factors,273
at,266
survey,258
’,254
cohort,251
disease,246
outbreak,243
an,239
',232
de,226
?,214
by,208
social,208
systematic,201
stress,201
response,196
associated,195
first,192
patients,187
2019,186
after,184
psychological,183
Covid-19,179
antibody,178
COVID‐19,175
antibodies,175
India,175
anxiety,173
against,172
protective,170
Healthcare,170
symptoms,168
analysis,164
China,163
between,161
medical,153
Mental,149
tertiary,148
Prevalence,147
work,146
community,142
health-care,142
Health,142
prospective,142
2020,141
equipment,141
personal,140
support,135
qualitative,133
control,132
An,132
Impact,124
BNT162b2,122
Psychological,122
Seroprevalence,114
UK,111
practices,111
prevention,111
migrant,109
effects,108
depression,107
seroprevalence,106
wave,106
occupational,106
covid-19,106
role,106
exposure,106
Knowledge,105
IgG,105
prevalence,104
hospitals,102
as,101
testing,99
knowledge,99
Risk,99
status,97
transmission,97
rapid,96
case,96
-,95
protocol,94
experiences,94
meta-analysis,94
asymptomatic,93
public,93
practice,92
safety,92
Italy,90
following,89
burnout,88
respiratory,88
or,88
protection,87
attitudes,86
South,86
observational,85
their,85
emergency,85
population,84
Hospital,84
infections,84
well-being,83
essential,83
experience,82
[,81
use,80
],80
distress,80
mRNA,79
general,79
measures,78
using,78
Africa,77
virus,77
longitudinal,76
trial,75
Coronavirus,74
assessment,73
Japan,72
responses,72
characteristics,72
sex,72
quality,72
epidemic,71
en,71
university,71
attitude,71
coping,70
early,70
management,70
towards,69
clinical,69
outcomes,69
United,68
perceptions,68
controlled,68
its,68
working,68
acute,66
training,66
effect,65
home,65
la,65
large,64
perception,64
COVID,64
evidence,64
related,63
infected,63
Brazil,62
are,62
strategies,62
2,62
Nigeria,61
New,61
Factors,60
resilience,60
surveillance,59
exposed,59
Community,59
center,58
Japanese,57
screening,57
sleep,57
two,56
system,56
's,56
Wuhan,56
lockdown,55
Occupational,55
s,55
Spain,55
Chinese,54
Association,54
How,54
Evaluation,54
randomized,53
time,53
era,53
Assessment,53
is,53
months,53
facilities,52
masks,52
results,51
effectiveness,51
Ethiopia,51
Pandemic,50
data,50
pediatric,49
model,49
teaching,49
children,49
approach,49
crisis,48
cases,48
about,48
levels,48
severe,48
Social,48
Saudi,48
context,47
primary,47
other,47
challenges,47
positive,47
front-line,46
protect,46
dose,46
workplace,46
female,46
Canada,46
Italian,46
problems,46
life,46
City,45
physical,45
intervention,45
;,45
online,45
staff,45
based,45
2021,44
preparedness,44
national,44
interventions,44
preventive,44
second,43
conditions,43
phase,43
19,43
face,43
novel,43
who,43
hesitancy,42
implications,42
HIV,42
wellbeing,42
Arabia,42
perceived,42
outbreaks,42
psychosocial,42
disorders,42
due,42
–,41
perspectives,41
key,41
influenza,41
people,40
Study,40
England,40
retrospective,40
disorder,40
pandemia,40
symptomatic,40
new,40
nursing,40
risks,39
prophylaxis,39
emotional,39
patient,39
countries,39
global,39
regarding,39
Protecting,39
immune,38
single,38
perspective,38
state,38
pilot,37
test,37
treatment,37
report,37
States,37
Exploring,37
anti-SARS-CoV-2,37
Farmworkers,37
”,36
“,36
amongst,36
service,36
NHS,36
salud,36
vaccines,36
determinants,36
multicenter,36
incidence,35
diseases,35
Migrant,35
under,35
Spanish,35
impacts,35
women,35
randomised,35
Care,35
viral,35
Safety,35
Antibody,35
office,35
What,34
infectious,34
follow-up,34
needs,34
education,34
Clinical,34
Psychosocial,34
low,34
Stress,34
tests,34
over,33
scoping,33
serological,33
vaccinated,33
burden,33
Turkey,33
city,33
across,33
University,33
research,33
services,33
job,33
high,33
acceptance,33
toward,33
Personal,33
contact,32
Infection,32
Bangladesh,32
not,32
variant,32
events,32
Experiences,32
SARS,32
York,32
region,32
adverse,32
Iran,32
Effectiveness,31
negative,31
before,31
centre,31
detection,31
Comparison,31
quarantine,30
improve,30
intensive,30
respirators,30
can,30
skin,30
settings,30
three,30
secondary,30
guidelines,30
family,30
Effect,30
evaluation,30
hand,30
Kingdom,30
dynamics,30
‘,29
``,29
death,29
versus,29
Indonesia,29
syndrome,29
case-control,29
da,29
multicentre,29
State,29
immunity,29
comparison,29
department,29
reactions,28
Pakistan,28
rates,28
rural,28
concerns,28
Singapore,28
through,28
High,28
involved,28
Australian,28
implementation,27
Analysis,27
fear,27
level,27
performance,27
period,27
Mexico,27
confirmed,27
behaviors,27
Uganda,27
findings,27
country,27
high-risk,27
times,27
uptake,27
satisfaction,27
willingness,27
digital,26
literature,26
hygiene,26
academic,26
correlates,26
SARS‐CoV‐2,26
issues,26
learning,26
reduce,26
without,26
association,26
Anxiety,26
be,26
Burnout,25
programme,25
Assessing,25
PPE,25
professional,25
food,25
surgery,25
students,25
household,25
'',25
program,25
industry,25
unit,25
e,25
Transmission,25
living,25
summary,24
compliance,24
Egypt,24
setting,24
front,24
seropositivity,24
members,24
Adverse,24
December,24
media,24
long-term,24
dental,24
informal,24
post-traumatic,24
structured,24
have,24
mask,24
concern,24
environment,24
North,24
distancing,23
rate,23
Vaccine,23
different,23
CoronaVac,23
identification,23
Eastern,23
Resilience,23
but,23
changes,23
pandemics,23
Nepal,23
Kong,23
Hong,23
trabajadores,23
prevent,23
Hydroxychloroquine,23
prior,23
when,23
saúde,23
monitoring,22
line,22
exposures,22
posttraumatic,22
Vaccination,22
Ghana,22
remote,22
humoral,22
BCG,22
March,22
ethical,22
trials,22
strategy,22
6,22
assays,22
supporting,22
lessons,22
critical,22
France,22
Serological,22
French,22
inactivated,22
self-reported,22
sample,22
socioeconomic,22
intention,22
por,21
age,21
aerosol,21
referral,21
Rapid,21
Perceived,21
vulnerability,21
units,21
suspected,21
peak,21
do,21
investigation,21
Predictors,21
questionnaire,21
area,21
PCR,21
cancer,21
network,21
predictors,21
PTSD,21
fighting,21
mixed-methods,20
1,20
epidemiological,20
insomnia,20
Effects,20
y,20
Indian,20
From,20
Prospective,20
Work,20
cross‐sectional,20
series,20
duration,20
umbrella,20
descriptive,20
adults,20
procedures,20
caring,20
hospitalized,20
Among,20
treating,20
elderly,20
COVID19,20
policy,20
information,20
&,20
em,20
influence,20
help,20
Awareness,20
Sweden,20
relationship,20
tool,20
group,20
differences,19
doses,19
Madrid,19
Special,19
Perceptions,19
design,19
spike,19
organizational,19
preventing,19
convalescent,19
Working,19
nationwide,19
amid,19
N95,19
systems,19
UK-REACH,19
Europe,19
web-based,19
within,19
Systematic,19
May,19
economic,19
Germany,19
tuberculosis,19
hydroxychloroquine,19
Investigation,19
third,19
international,19
Development,19
Use,19
vulnerable,19
Determinants,19
development,19
barriers,19
mortality,19
coverage,19
violence,19
ChAdOx1,18
emerging,18
highly,18
facing,18
Correction,18
shift,18
RT-PCR,18
mediating,18
Results,18
Experience,18
./,18
cluster,18
depressive,18
professionals,18
West,18
neutralizing,18
Israel,18
history,18
designated,18
Survey,18
Medical,18
nasal,18
Role,18
Delhi,18
foreign,18
Canadian,18
we,18
need,18
Vietnam,18
Disease,18
providing,18
oncology,17
homes,17
Southern,17
Depression,17
world,17
Understanding,17
engagement,17
cell,17
oral,17
it,17
isolation,17
Respiratory,17
affected,17
behavior,17
receive,17
no,17
Province,17
flow,17
areas,17
residents,17
Brazilian,17
centers,17
one,17
U.S.,17
non-healthcare,17
Characteristics,17
affecting,17
methods,17
breakthrough,17
Barriers,17
los,17
communities,17
that,17
considerations,17
casos,16
Research,16
diagnostic,16
studies,16
gender,16
year,16
reinfection,16
industrial,16
Severe,16
resources,16
Relationship,16
recovery,16
Omicron,16
beyond,16
nosocomial,16
change,16
what,16
stressors,16
future,16
Brasil,16
validation,16
nurses,16
Thailand,16
synthesis,16
Region,16
Kenya,16
Farmworker,16
T,16
domestic,16
Milan,16
Are,16
hospitality,16
central,16
trauma,16
effective,16
responders,16
absenteeism,16
Australia,16
most,16
recommendations,15
four,15
action,15
six,15
National,15
middle-income,15
how,15
psychiatric,15
activity,15
amidst,15
previously,15
reduction,15
sector,15
US,15
influencing,15
seroconversion,15
Belgian,15
Paris,15
del,15
titers,15
neck,15
Qatar,15
functioning,15
assess,15
faced,15
confidence,15
work-related,15
stigma,15
therapy,15
side,15
COVID-19-related,15
variants,15
California,15
HCWs,15
distribution,15
construction,15
weeks,15
protecting,15
Comparative,15
Sleep,15
German,15
potential,15
specific,15
Longitudinal,15
profile,14
behaviour,14
frequency,14
paediatric,14
relation,14
traumatic,14
pain,14
Global,14
according,14
Improving,14
Teleworkers,14
growth,14
agricultural,14
Poland,14
older,14
peer,14
returning,14
child,14
cognitive,14
them,14
handling,14
sectional,14
Data,14
leave,14
Evidence,14
spread,14
2020/,14
non-health,14
airborne,14
epidemics,14
employment,14
Incidence,14
into,14
all,14
than,14
USA,14
Issue,14
cross,14
diagnosed,14
quantitative,14
diagnosis,14
mediation,14
Netherlands,14
profissionais,14
Paulo,14
rights,13
London,13
situation,13
corona,13
Posttraumatic,13
behavioral,13
malaria,13
roles,13
application,13
fatigue,13
Novel,13
Outbreak,13
positivity,13
Frontline,13
Perception,13
project,13
presenteeism,13
subjective,13
previous,13
Ireland,13
large-scale,13
Evaluating,13
el,13
welfare,13
tracing,13
type,13
higher,13
labour,13
County,13
human,13
address,13
São,13
Primary,13
Low,13
pre-exposure,13
Egyptian,13
reducing,13
injury,13
platform,13
framework,13
Training,13
productivity,13
admission,13
saliva,13
Northern,13
mobile,13
Public,13
Denmark,13
Using,13
does,13
Job,13
assessing,13
Malaysia,13
Perspectives,13
version,12
learned,12
managing,12
mixed,12
value,12
semanas,12
exhaustion,12
Trust,12
dedicated,12
providers,12
Latinx,12
January,12
Risks,12
Description,12
compared,12
sars-cov-2,12
nine,12
disparities,12
Estimating,12
clinic,12
Western,12
lateral,12
illness,12
field,12
Acute,12
tertiary-care,12
Adherence,12
European,12
pressure,12
appraisal,12
kinetics,12
hospitalizados,12
young,12
five,12
school,12
deaths,12
district,12
Physical,12
precautions,12
un,12
personnel,12
Implementation,12
call,12
facility,12
medicine,12
Israeli,12
communication,12
dealing,12
contamination,12
post-vaccination,12
baseline,12
loss,12
Cape,12
carriers,12
experiencing,12
Dynamics,12
Willingness,12
sick,12
durante,12
multi-center,12
nCoV-19,12
delivery,12
farmworkers,11
actions,11
Cohort,11
including,11
manage,11
Two,11
anti-spike,11
induced,11
Symptoms,11
urban,11
moderated,11
skills,11
Lessons,11
East,11
impairment,11
features,11
fight,11
while,11
mRNA-1273,11
preprint,11
comparative,11
IgM,11
evolution,11
guidance,11
pneumonia,11
vulnerabilities,11
access,11
increased,11
Greece,11
presentation,11
Addressing,11
Challenges,11
common,11
Greater,11
efforts,11
facilitators,11
eczema,11
developing,11
internal,11
simulation,11
return,11
Neutralizing,11
being,11
important,11
British,11
Gender,11
Essential,11
regional,11
disability,11
narrative,11
Emotional,11
SARS-COV-2,11
Cross-sectional,11
importance,11
workforce,11
years,11
immunogenicity,11
programs,11
groups,11
natural,11
scenario,11
Hand,11
persons,11
Seasonal,11
African,11
booster,11
Colombia,11
swabs,11
current,11
à,11
experienced,11
views,11
Changes,11
serology,11
Massachusetts,11
reflections,11
predictive,11
institutions,11
private,11
Health-care,11
endoscopy,11
exploratory,10
adherence,10
get,10
indicators,10
should,10
palliative,10
Acceptability,10
Central,10
injuries,10
dawn,10
Republic,10
Implications,10
Carolina,10
Application,10
behaviours,10
Secondary,10
daily,10
3,10
Kampala,10
insights,10
severity,10
non-frontline,10
CoV-2,10
leadership,10
Can,10
Boston,10
focus,10
resource,10
SIREN,10
north,10
mitigation,10
teleworkers,10
awareness,10
regions,10
identify,10
turnover,10
Covid,10
institution,10
Calmette-Guérin,10
Kerala,10
Bacillus,10
Syndrome,10
laboratory,10
aspects,10
initiative,10
/,10
blood,10
administration,10
Quebec,10
maternal,10
Humoral,10
Peru,10
Persistent,10
real-world,10
intentions,10
Randomized,10
trabalhadores,10
examination,10
assay,10
dermatitis,10
Iranian,10
universal,10
Should,10
factor,10
Immunogenicity,10
patterns,10
night,10
gargling,10
families,10
swab,10
Tokyo,10
low-income,10
sickness,10
Black,10
B.1.1.7,10
Immigrant,10
Corona,9
Response,9
retail,9
course,9
Initial,9
coronavirus-2,9
Testing,9
Surveillance,9
We,9
Lived,9
ill,9
loneliness,9
sprays,9
initial,9
outcome,9
reality,9
mouthwashes,9
Patients,9
Remote,9
Management,9
quarantined,9
technology,9
brief,9
increase,9
International,9
Long-term,9
Validation,9
Comparing,9
close,9
less,9
SARS-CoV2,9
waste,9
Kuwait,9
metropolitan,9
mandatory,9
beliefs,9
back,9
Swiss,9
Symptomatic,9
Performance,9
poor,9
guide,9
climate,9
activities,9
Differential,9
labor,9
habits,9
scale,9
integrated,9
ethnicity,9
homeless,9
Workplace,9
capacity,9
health-related,9
Croatian,9
Is,9
efficacy,9
employees,9
hepatitis,9
Tertiary,9
No,9
Lombardy,9
Universal,9
Teaching,9
view,9
security,9
commercial,9
surgical,9
aid,9
policies,9
Attitudes,9
up,9
Covid‐19,9
Center,9
Latin,9
pregnant,9
Differences,9
days,9
Supporting,9
government,9
